0h,0.5h,1h,2h,4h,6h,12h,24h,48h,72h
8.514,9.311,8.588,8.603,9.437,9.503,9.389,9.173,9.348,9.179
6.510,6.623,6.382,6.625,7.122,7.494,7.930,8.268,8.849,8.888
11.342,10.987,11.910,11.515,11.388,10.633,9.774,10.348,10.303,10.158
6.019,6.165,6.102,6.150,6.110,6.101,6.406,6.856,7.630,7.835
6.432,6.326,6.185,6.385,7.115,7.240,7.333,7.807,8.009,8.003
6.686,6.361,6.618,7.143,7.909,8.275,7.532,7.229,7.610,7.915
6.205,6.424,6.521,7.335,7.790,7.569,7.119,7.060,6.905,7.877
6.794,6.396,6.451,7.257,8.724,9.831,9.136,8.867,10.218,9.525
10.413,10.143,11.234,11.504,12.069,12.251,11.900,12.291,12.146,12.653
6.270,6.300,6.380,6.476,6.452,6.583,6.929,7.281,8.074,8.224
6.614,6.821,8.438,9.984,8.216,8.168,7.859,7.656,7.607,7.574
6.370,6.383,7.324,7.728,6.583,6.304,5.990,6.394,7.001,7.988
6.417,6.401,6.279,6.397,6.463,6.320,6.466,6.575,7.189,8.033
6.196,6.358,6.319,6.325,6.390,6.532,6.818,8.363,8.341,8.764
6.495,6.411,6.520,7.092,7.238,7.816,8.278,7.587,8.566,9.889
11.673,11.587,11.331,9.126,8.351,7.535,7.377,7.517,7.449,8.001
11.320,11.217,11.451,11.564,10.884,10.005,9.235,9.605,9.979,10.177
7.828,7.398,8.175,8.713,9.147,9.300,9.330,9.531,9.317,9.757
8.894,9.101,9.715,10.319,9.010,9.082,8.528,8.920,8.758,8.743
10.780,10.622,11.143,11.347,10.571,10.273,9.127,8.559,8.605,9.493
9.689,9.025,10.572,11.189,11.117,10.730,8.962,9.869,11.319,11.835
6.745,6.742,6.723,6.833,7.562,7.837,8.872,9.116,9.475,9.180
7.248,7.416,7.391,7.717,9.661,9.967,10.312,10.273,10.682,10.583
6.200,6.129,6.187,6.173,6.103,6.222,6.345,6.931,7.583,7.799
6.623,6.844,6.723,6.876,6.833,6.744,7.046,7.120,8.079,7.687
6.568,6.498,6.709,6.985,7.007,6.770,6.742,7.408,7.550,8.075
11.245,10.252,11.279,11.159,11.371,10.765,9.665,10.485,11.946,12.256
6.150,6.237,6.264,6.341,6.164,6.198,6.333,6.417,7.236,7.578
6.442,6.434,6.440,6.441,6.407,6.436,6.492,7.378,7.901,7.544
6.225,6.321,6.364,7.030,8.178,8.234,6.905,7.041,7.669,7.727
6.300,6.465,6.396,6.568,6.973,7.214,6.934,6.846,7.459,7.690
9.408,9.762,10.294,10.024,8.151,7.600,7.637,7.834,7.423,8.003
6.851,6.987,7.228,7.742,6.921,6.578,6.568,7.484,7.860,8.275
8.052,8.087,8.645,9.007,8.678,8.817,9.076,9.690,9.752,9.692
6.534,6.633,6.701,6.676,6.841,6.970,6.923,7.228,7.659,8.294
6.240,6.391,6.441,7.272,7.787,7.652,7.115,7.423,7.456,7.664
9.613,10.019,9.699,8.865,8.052,7.617,8.086,7.637,8.094,8.431
6.429,6.429,6.849,6.960,7.040,6.866,7.232,8.061,8.757,9.440
9.362,8.446,9.312,9.294,9.367,8.951,8.110,8.733,9.973,10.232
6.116,6.154,6.169,6.161,6.560,6.978,7.302,7.533,7.264,7.330
6.586,6.519,6.494,6.528,6.457,6.421,6.447,6.933,7.781,7.713
6.234,6.155,6.212,6.124,6.319,6.265,6.364,6.447,6.369,7.640
6.157,6.140,6.221,6.061,6.238,6.274,6.174,6.564,7.628,7.539
8.347,8.274,9.114,8.972,9.739,9.462,9.192,9.183,9.422,9.264
7.706,7.858,7.966,7.933,7.697,7.586,7.893,9.099,10.213,10.726
6.183,6.276,6.166,6.486,6.512,6.728,7.264,7.673,7.965,7.552
8.674,7.526,8.633,8.322,8.166,7.978,8.160,9.492,10.408,10.595
9.535,10.517,11.168,11.535,12.582,13.398,13.556,14.407,14.551,14.288
8.140,7.602,8.089,7.245,7.905,7.662,7.910,8.084,8.870,8.893
6.407,6.600,6.447,6.675,6.595,6.670,6.711,6.762,7.462,7.419
7.883,7.665,8.088,8.321,8.012,8.238,8.062,7.645,7.534,8.030
6.861,6.793,6.797,7.160,7.096,7.140,7.476,8.043,7.828,8.544
7.026,6.625,7.453,8.038,7.544,7.436,6.936,7.615,8.508,9.088
6.280,6.420,6.357,6.374,6.372,6.568,6.586,6.661,7.002,8.391
7.816,7.748,7.446,8.187,10.203,10.714,10.994,10.648,10.941,10.703
7.663,7.837,7.373,7.110,7.220,7.126,7.502,7.758,7.776,8.008
7.283,7.107,7.737,7.972,8.852,9.190,9.479,9.647,9.577,9.208
6.430,6.419,6.398,6.483,6.512,6.748,7.457,8.183,8.572,8.848
8.585,7.923,8.819,8.563,8.598,8.518,9.839,10.544,10.810,11.062
8.468,8.251,8.339,9.160,9.448,9.521,9.306,8.878,8.803,8.883
9.373,9.372,9.309,8.992,7.755,7.889,8.268,8.999,9.381,9.606
9.125,8.961,9.612,9.850,9.459,9.157,8.362,8.215,7.658,8.129
6.283,6.193,6.631,8.441,7.148,6.964,6.653,7.079,7.481,7.150
10.707,9.947,10.861,10.519,10.693,10.569,10.414,10.618,10.623,10.793
8.993,8.535,9.239,9.104,9.943,10.447,11.145,11.260,11.326,11.256
9.469,8.923,9.755,9.922,10.144,9.924,10.206,10.483,10.149,10.462
6.170,6.112,6.238,6.166,6.011,6.327,6.473,6.742,7.151,7.568
10.409,10.599,10.696,10.794,9.857,9.512,9.564,9.729,9.888,10.089
6.581,6.620,6.696,6.696,6.853,6.956,7.046,6.969,7.187,7.449
8.823,8.492,9.320,9.071,9.311,9.461,9.503,9.675,8.953,9.399
8.722,9.297,10.196,10.239,10.055,9.930,9.301,8.589,8.618,8.748
9.035,8.684,9.100,8.828,8.527,8.621,9.094,10.180,10.213,10.595
6.458,6.845,6.570,6.460,6.451,6.339,6.632,6.832,7.281,7.634
10.290,9.546,9.394,8.272,7.626,7.497,7.424,7.376,7.547,7.853
8.026,8.072,7.757,8.485,9.158,8.875,8.921,9.000,8.816,8.752
6.199,6.258,6.212,6.261,6.430,6.276,6.240,6.156,6.572,7.120
8.570,8.241,8.755,8.768,9.768,10.156,10.484,10.473,9.896,10.139
8.059,7.912,8.557,8.981,7.942,7.759,8.064,8.143,8.196,8.565
7.434,7.049,6.895,6.715,6.754,6.629,6.502,6.794,7.110,7.903
10.279,10.543,10.369,10.268,10.152,8.857,7.961,8.219,8.198,8.456
11.802,11.351,11.572,11.266,10.010,9.970,10.718,10.723,10.715,10.970
6.208,6.112,6.237,6.355,6.191,6.145,6.050,6.305,6.840,7.178
6.349,6.392,6.628,6.441,6.572,6.615,6.936,7.576,7.936,7.798
7.055,6.874,7.081,7.693,7.754,7.749,7.356,7.112,7.228,7.346
7.322,7.008,7.463,7.726,10.134,11.420,11.972,11.429,12.213,11.953
8.637,8.763,8.708,8.316,7.365,7.051,7.314,7.945,9.636,10.144
6.235,6.371,6.223,6.532,7.882,8.546,8.486,8.265,8.622,8.738
10.003,9.253,10.527,11.154,12.328,12.885,13.048,13.173,13.055,12.526
9.543,9.673,10.913,12.212,11.166,10.885,10.665,10.570,10.520,10.915
6.301,6.556,6.765,6.753,6.416,6.569,6.930,7.190,7.553,8.161
8.848,8.708,8.693,8.379,8.422,8.354,8.408,8.962,8.631,9.036
6.141,5.973,6.027,6.034,5.972,5.991,6.121,7.023,7.263,6.940
6.409,6.474,6.404,6.363,6.430,6.439,6.463,6.513,6.911,7.569
6.861,6.776,7.162,7.244,7.504,7.236,7.855,7.885,7.780,7.456
6.895,6.984,6.653,6.832,7.537,7.762,8.266,8.548,8.657,8.758
7.278,7.259,7.161,7.538,7.712,7.777,8.287,8.584,8.626,8.623
7.365,7.540,7.754,8.172,7.760,7.924,8.560,8.878,9.137,9.385
6.819,6.595,7.312,6.829,6.370,6.379,6.800,7.038,7.412,7.929
9.407,8.889,9.983,9.751,9.942,9.918,10.010,10.266,10.123,10.418
7.235,7.382,7.579,8.459,8.571,8.265,8.361,9.118,8.721,8.781
8.868,9.194,9.580,9.355,9.041,9.080,8.853,9.253,9.512,9.299
7.940,7.926,8.183,7.899,7.159,7.423,8.116,8.213,8.160,8.665
6.218,6.194,6.271,6.176,6.203,6.134,6.271,6.452,7.275,7.057
6.403,6.345,6.511,6.566,6.503,6.464,6.919,8.161,8.067,8.063
7.203,7.235,8.136,8.628,7.529,7.523,7.640,7.694,7.673,7.946
6.359,6.242,6.361,6.350,6.400,6.847,6.959,7.769,8.736,8.113
7.889,7.804,7.709,7.402,7.014,7.001,7.746,8.953,8.587,8.732
7.549,7.392,7.641,8.105,8.599,8.854,9.045,8.475,7.885,8.184
10.396,11.637,11.325,10.414,9.264,9.525,8.952,8.684,8.729,9.378
6.778,6.859,6.901,6.772,6.723,6.765,7.016,7.642,7.860,8.322
8.520,8.980,9.175,8.681,8.412,8.309,8.059,8.436,8.555,8.639
6.236,6.258,6.182,6.124,6.313,6.056,6.257,8.032,10.675,10.876
9.119,8.629,9.192,9.074,10.553,11.317,11.790,11.370,10.838,10.910
7.023,7.300,7.304,7.060,6.728,6.433,6.768,6.830,7.672,7.992
8.193,7.921,7.953,8.147,8.436,8.884,9.594,10.203,10.906,10.755
8.270,8.144,8.518,8.082,9.594,9.622,9.967,9.598,9.793,9.675
7.172,7.074,7.113,7.026,6.862,6.686,6.583,6.985,7.177,8.056
7.877,7.759,8.084,8.070,7.907,7.755,7.921,8.812,8.997,9.271
6.383,6.433,6.320,6.551,6.669,6.871,6.807,6.697,7.101,7.116
8.666,8.000,8.986,8.436,9.271,9.572,10.012,10.012,9.816,10.113
6.096,6.001,6.068,6.068,6.102,6.094,6.268,6.473,6.851,6.831
9.015,8.729,9.682,9.984,10.275,10.675,10.948,10.765,10.705,10.899
8.415,8.355,8.481,8.693,9.653,9.932,10.194,9.850,10.236,9.825
7.708,8.086,7.699,8.054,8.174,8.150,8.141,8.374,8.571,8.568
9.248,9.105,9.201,9.232,9.295,8.459,8.598,8.990,9.668,9.942
9.652,8.988,10.041,10.576,11.711,12.308,12.550,12.612,12.394,11.956
6.257,6.273,6.186,6.327,6.280,6.275,6.317,6.656,7.018,7.272
7.032,7.058,7.202,6.896,7.497,8.141,8.965,9.851,10.647,11.073
8.068,7.713,7.848,8.001,8.123,8.734,9.403,9.839,10.399,10.402
6.415,6.493,6.506,6.403,6.583,6.631,7.015,7.530,7.635,7.725
9.192,8.740,10.089,10.386,10.217,10.257,10.632,10.711,10.780,10.844
7.299,7.017,7.511,7.616,8.728,9.319,9.913,9.834,9.968,9.920
7.774,7.354,7.892,7.593,7.891,8.298,8.815,9.172,9.084,9.315
7.559,7.194,7.756,7.708,8.113,8.373,8.525,8.515,8.699,8.581
6.531,6.687,6.755,6.325,6.254,6.360,6.197,6.128,6.365,6.968
6.800,6.699,6.928,7.409,8.127,8.811,9.339,9.946,10.120,9.943
7.448,7.631,7.927,8.353,8.236,8.033,8.542,8.468,8.179,8.240
6.504,6.545,6.643,6.787,6.756,7.179,8.919,9.650,9.943,10.548
7.855,7.738,8.308,7.977,8.535,8.707,9.260,9.412,9.495,9.097
10.172,9.673,10.683,11.001,11.458,11.685,11.893,11.657,11.610,11.445
6.301,6.442,6.343,6.316,6.804,6.840,7.667,8.455,8.543,8.634
6.515,6.521,6.614,6.550,6.500,6.693,7.635,9.283,9.541,9.971
8.561,8.613,8.523,8.405,9.501,9.999,10.437,10.517,10.995,11.463
7.821,7.646,7.793,7.627,8.263,8.835,9.201,9.207,9.271,9.561
6.282,6.374,6.401,6.352,6.209,6.359,7.095,8.316,8.537,8.884
6.602,6.325,6.606,7.209,7.019,6.908,6.807,7.496,7.624,7.784
9.268,8.842,8.912,8.533,8.204,8.241,8.558,8.259,8.240,8.523
8.059,7.633,8.245,8.135,9.528,10.182,10.429,9.874,9.980,10.087
9.220,8.530,9.063,8.758,9.269,9.477,10.308,10.639,10.588,10.677
7.819,7.301,8.207,8.314,8.524,8.594,9.122,9.019,9.009,9.135
6.929,6.705,6.641,6.670,7.003,7.058,6.700,6.995,6.936,7.198
5.940,6.133,6.109,6.099,6.853,7.099,7.084,7.214,7.121,7.052
6.328,6.674,6.841,6.326,6.208,6.280,6.197,6.127,6.362,6.954
6.964,6.737,7.224,7.086,7.835,8.188,8.542,8.153,7.671,8.096
9.887,9.564,9.671,9.299,9.393,9.513,10.657,10.679,10.463,10.903
10.088,10.026,10.700,9.977,9.320,8.936,9.348,9.039,8.491,8.899
7.465,7.351,7.454,7.489,8.075,8.418,8.795,8.789,8.812,9.065
9.924,10.521,11.165,10.207,8.492,7.985,7.831,8.112,7.904,8.194
8.456,8.198,8.741,9.531,11.003,11.356,11.467,11.718,11.734,11.438
9.452,9.339,10.230,10.691,10.448,10.726,10.932,11.311,11.860,11.744
5.959,6.029,6.053,6.043,6.129,6.231,6.705,7.079,7.251,7.493
6.133,6.151,6.226,6.168,6.111,6.206,6.157,7.233,7.824,7.946
7.390,7.292,7.124,7.039,8.111,8.174,7.982,7.718,7.749,8.030
8.180,7.885,7.895,7.351,7.427,7.517,7.932,8.322,8.281,8.649
7.132,6.797,7.036,7.449,7.967,8.291,8.915,9.182,9.347,9.660
6.936,6.803,6.716,6.615,7.000,7.102,7.737,8.265,8.364,8.677
7.884,7.474,7.966,7.607,9.062,9.852,10.156,10.071,9.965,10.129
6.262,6.252,6.279,6.225,6.240,6.209,6.222,6.461,6.731,7.074
6.355,6.635,6.580,6.735,7.028,6.798,7.780,7.624,7.785,8.039
7.898,8.114,8.051,7.546,8.094,8.759,9.275,9.471,9.383,9.436
9.510,9.494,9.669,9.540,9.624,9.478,9.645,9.663,9.757,10.103
6.523,6.808,6.901,6.719,6.482,6.510,6.447,6.591,6.737,7.014
7.765,7.834,8.130,7.835,7.368,7.216,7.278,7.260,7.871,8.078
6.213,6.325,6.156,6.133,6.200,6.277,6.411,6.705,7.217,7.194
6.523,6.596,6.687,6.656,6.878,6.672,7.191,7.621,7.781,7.677
6.077,6.127,6.081,6.084,6.044,6.052,6.108,6.286,6.881,6.685
9.847,9.389,9.663,9.462,10.565,10.881,10.977,11.114,10.927,11.176
6.238,6.221,6.185,6.237,6.256,6.237,6.480,6.722,6.936,6.932
6.305,6.263,6.441,6.250,6.243,6.441,6.410,6.308,6.483,6.839
6.551,6.590,6.436,6.242,6.144,6.260,6.391,6.557,6.855,7.505
6.345,6.249,6.253,6.201,6.236,6.326,6.285,6.516,6.670,7.286
9.738,9.912,10.841,10.806,9.679,9.658,9.953,9.524,9.299,9.665
7.287,6.947,6.961,7.791,7.920,7.555,7.286,7.361,7.146,7.243
8.528,8.518,8.800,8.799,9.716,10.073,9.944,9.920,9.819,9.961
7.038,7.058,7.160,7.002,7.728,8.130,8.580,8.578,8.793,8.781
6.205,6.113,6.180,6.254,6.807,6.763,7.247,6.832,7.207,7.522
7.131,7.303,7.349,7.409,7.344,7.423,7.809,7.687,7.613,7.616
6.440,6.330,6.306,6.408,6.455,6.544,6.598,7.064,7.361,7.302
13.101,13.464,13.702,13.840,13.028,12.450,12.513,13.035,13.299,13.295
6.880,6.485,6.580,6.476,6.441,6.474,6.448,6.654,6.787,7.361
6.137,6.185,6.189,6.079,6.016,6.185,6.182,6.109,6.184,7.296
8.770,8.907,8.513,8.171,8.822,8.705,8.945,9.985,10.568,10.963
7.002,6.636,7.146,7.686,7.972,8.001,8.206,8.236,8.303,8.430
6.376,6.260,6.633,6.404,6.571,6.594,6.728,7.598,8.167,8.686
9.302,8.556,9.503,9.489,9.681,9.656,10.190,10.438,10.048,10.210
6.184,6.211,6.226,6.232,6.306,6.227,6.392,6.948,7.179,7.203
10.585,10.199,10.582,10.386,11.309,11.481,12.130,12.261,12.512,12.767
6.229,6.328,6.329,6.487,6.248,6.273,6.423,6.501,6.928,7.054
7.462,7.274,7.750,7.636,8.430,8.766,8.684,8.616,8.920,8.835
8.602,8.753,8.421,7.591,7.999,7.837,7.648,8.260,8.616,8.418
7.670,7.726,7.800,7.911,8.596,8.832,8.906,8.755,8.893,8.856
6.541,6.496,6.428,6.500,7.085,7.360,8.051,7.940,8.333,9.287
6.163,6.093,6.311,6.207,7.090,7.080,7.280,6.726,6.928,7.281
9.093,8.869,9.415,9.616,9.890,10.127,10.471,10.476,10.448,10.447
7.034,6.999,7.145,6.616,6.722,6.604,7.712,9.038,8.677,8.607
6.520,6.404,6.747,6.868,7.220,7.291,7.440,7.441,7.405,7.576
6.084,6.163,6.058,6.055,6.168,6.266,6.128,6.306,6.733,7.084
6.264,6.413,6.128,6.405,6.557,6.531,7.178,6.538,6.192,6.907
8.373,7.811,8.578,8.511,8.861,9.252,10.011,10.172,10.132,10.186
6.473,6.315,6.875,6.845,6.983,7.055,7.234,7.642,8.056,7.802
9.755,9.614,9.539,9.639,9.530,9.805,9.641,9.749,9.797,10.041
6.622,6.499,6.661,6.700,6.753,6.897,6.928,7.357,7.353,7.476
10.257,10.163,10.078,10.276,10.001,9.939,9.777,10.167,10.077,10.530
6.250,6.443,6.483,7.259,7.015,7.048,6.852,6.867,6.946,7.211
7.211,7.195,6.867,6.636,7.133,7.541,8.116,7.805,8.394,9.679
6.600,6.485,6.446,6.792,7.385,7.053,6.526,6.560,6.501,7.046
12.811,12.610,12.605,12.558,13.227,13.256,13.491,13.423,13.550,13.585
7.697,7.492,7.463,6.985,7.484,7.552,8.074,8.452,8.200,8.340
7.428,7.252,7.586,7.568,7.230,7.451,7.964,8.339,8.438,8.368
6.308,6.358,6.433,6.412,6.373,6.415,6.787,6.504,6.682,7.112
6.349,6.281,6.296,6.354,6.290,6.329,6.301,6.409,6.941,7.509
6.802,6.466,6.588,6.363,7.292,7.649,7.194,7.145,7.247,7.710
6.757,6.697,6.484,6.704,6.813,6.994,7.216,8.002,8.165,8.062
12.423,12.122,12.668,12.383,12.417,12.502,12.533,12.406,12.113,12.077
10.398,10.540,10.674,10.290,10.115,10.029,10.455,10.543,10.576,10.733
7.775,7.772,8.017,7.768,7.171,7.391,7.723,7.874,7.841,8.257
6.206,6.219,6.334,6.154,6.156,6.116,6.213,6.363,6.513,6.742
6.573,6.665,6.621,6.562,6.489,6.873,8.105,9.040,9.149,9.141
10.206,10.016,10.162,10.188,11.083,11.275,11.844,11.884,11.698,11.838
9.597,9.586,9.219,9.242,9.578,9.361,9.325,9.369,9.200,9.125
10.352,10.062,10.252,10.011,10.082,10.105,10.566,10.243,10.073,10.091
8.281,8.350,8.240,7.984,7.281,7.448,7.783,7.560,7.587,7.901
6.781,6.752,6.873,7.159,7.097,7.078,7.366,7.585,7.399,7.649
6.165,6.155,6.064,6.209,6.051,6.045,6.092,6.196,6.813,6.697
6.201,6.190,6.064,6.261,7.089,7.308,7.418,7.616,7.865,7.834
8.828,9.050,8.970,8.346,6.932,6.882,7.366,7.349,7.327,7.811
6.153,6.473,6.199,6.215,6.315,6.448,6.722,6.995,7.003,7.423
6.471,6.819,6.623,6.586,7.176,7.517,7.998,8.006,8.401,8.429
6.435,6.318,6.367,6.335,6.113,6.223,6.415,6.896,6.994,7.168
6.313,6.232,6.255,6.519,6.622,6.722,6.677,6.766,6.987,7.588
6.490,6.716,6.686,6.840,7.889,8.270,8.204,8.147,8.406,8.359
6.448,6.386,6.411,6.611,6.869,6.934,7.597,8.333,8.633,8.421
6.351,6.310,6.296,6.374,6.560,7.355,8.115,8.468,8.821,8.659
6.717,6.743,6.448,6.887,7.289,7.853,8.791,9.214,9.173,9.515
6.943,6.790,6.954,6.758,7.085,7.456,8.276,8.700,8.643,9.016
6.509,6.418,6.231,6.271,6.362,6.480,6.445,6.596,6.828,7.287
6.918,6.640,7.542,7.024,6.540,6.388,6.647,6.862,7.223,7.673
6.301,6.351,6.614,6.417,7.464,7.856,7.978,7.830,7.594,7.761
8.518,8.697,8.662,8.619,8.266,8.593,8.270,8.395,8.487,8.392
6.232,6.301,6.266,6.361,6.597,6.814,6.766,7.266,7.996,7.984
6.209,6.209,6.271,6.322,6.617,6.221,6.151,6.267,6.596,6.599
6.728,6.644,6.581,6.918,7.127,7.078,7.119,7.255,7.551,8.058
6.168,6.174,6.240,6.095,6.242,6.347,6.356,6.301,6.468,6.720
6.261,6.401,6.589,6.605,7.039,7.588,8.457,8.970,9.321,9.249
6.134,6.079,5.961,6.042,6.279,6.449,6.514,6.464,6.546,6.927
6.822,6.847,6.972,7.235,7.574,8.008,7.879,8.190,8.008,7.815
6.162,6.205,6.193,6.265,6.298,6.461,6.432,7.048,7.823,8.019
9.805,9.657,9.265,9.187,8.969,8.566,8.651,8.506,7.917,7.901
6.338,6.149,6.376,6.155,6.229,6.341,6.253,7.411,8.849,9.013
6.376,6.386,6.654,6.424,6.399,6.418,6.657,7.382,8.161,8.099
7.326,7.325,7.457,7.202,7.460,7.401,7.842,7.684,7.909,7.823
6.904,6.885,7.347,7.600,7.445,7.576,7.591,7.408,7.223,7.457
6.877,6.713,6.521,6.590,6.809,6.841,7.767,8.980,8.834,9.122
6.027,6.019,6.101,6.462,6.413,6.837,6.979,7.455,7.710,8.187
6.368,6.251,6.511,6.396,6.308,6.459,6.775,7.170,7.471,7.673
7.980,7.845,7.950,7.440,6.815,6.449,6.401,6.474,6.781,6.913
6.363,6.442,6.497,6.470,6.275,6.224,6.416,6.768,7.107,7.399
12.273,12.157,11.714,11.620,11.829,11.524,11.105,10.684,10.285,10.306
7.445,7.091,7.445,7.708,8.041,8.132,8.089,8.049,8.269,8.119
6.343,6.145,6.325,6.261,6.494,7.048,7.655,7.880,7.939,7.551
6.439,6.256,6.358,6.343,6.650,6.919,7.152,7.429,7.832,7.768
6.449,6.308,6.345,6.505,6.415,6.539,6.492,6.737,7.241,7.241
6.963,6.969,6.899,6.638,7.021,6.909,7.610,7.275,6.722,7.761
6.532,6.421,6.468,6.545,6.499,6.461,6.788,6.947,7.464,7.340
6.351,6.357,6.358,6.472,6.394,6.425,6.680,6.695,6.963,7.289
5.956,6.289,6.169,6.244,6.276,6.469,6.665,7.038,7.090,7.394
6.445,6.398,6.356,6.431,6.457,6.492,7.142,7.570,7.616,7.679
9.173,9.015,9.078,8.999,9.271,9.261,9.218,9.127,9.003,9.309
7.115,7.198,7.150,7.261,7.248,7.484,7.931,7.656,8.006,8.046
6.653,6.473,6.597,6.684,6.999,6.935,6.849,6.845,6.954,6.936
6.297,6.371,6.165,6.272,6.324,6.291,6.328,6.556,6.764,6.938
7.180,7.011,7.262,6.976,7.573,7.389,7.560,7.724,7.410,7.332
6.542,6.353,6.468,6.599,7.153,7.290,7.123,7.210,7.337,7.599
6.482,6.530,6.473,6.755,6.810,6.990,6.926,7.109,7.240,7.296
6.514,6.714,7.077,7.171,7.004,6.995,7.488,7.439,8.097,8.296
13.661,13.081,13.638,13.454,13.709,13.782,14.008,13.720,13.551,13.717
6.600,6.844,7.190,7.320,7.445,7.605,8.319,8.399,8.096,7.992
6.657,6.518,6.531,6.853,6.731,7.023,7.535,7.677,7.701,7.623
6.432,6.645,6.382,6.391,6.512,6.644,6.871,7.184,7.691,7.834
6.085,6.044,6.178,6.140,6.084,6.186,6.338,6.266,6.546,6.756
6.624,6.200,6.366,6.318,6.322,6.318,6.184,6.349,6.689,7.451
6.260,6.248,6.435,6.636,6.754,6.833,6.963,7.019,7.529,8.069
6.298,6.116,6.301,6.354,6.360,6.625,7.074,7.779,8.073,8.159
6.799,6.602,6.498,6.641,7.492,7.698,7.799,7.364,7.388,7.473
6.350,6.241,6.128,6.367,6.379,6.458,6.906,7.209,7.158,7.338
6.467,6.361,6.361,6.430,6.459,6.569,7.266,7.395,7.409,7.401
7.553,7.358,7.310,7.414,7.340,7.459,7.764,7.826,7.668,7.872
9.166,9.010,9.468,9.951,10.143,10.191,9.919,10.017,9.888,9.783
6.289,6.392,6.421,6.374,6.345,6.368,6.270,6.432,6.503,6.882
6.645,6.722,6.516,6.611,6.876,6.965,7.070,7.493,7.859,7.837
7.655,7.568,8.180,9.077,8.633,9.176,9.564,9.718,9.883,10.120
6.421,6.293,6.285,6.340,6.510,6.377,6.305,6.431,6.582,7.020
